,Movie_Name,Star_1,Star_2,Star_3,Star_4,Votes,Genre_1,Genre_2,Genre_3,Gross Collection,Certification
0,Spider-Man: Across the Spider-Verse, Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez,"50,471",Animation, Action, Adventure,Not Available,PG 
1,The Dark Knight, Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine,"2,719,947",Action, Crime, Drama,534.86,PG-13 
2,The Lord of the Rings: The Return of the King, Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom,"1,888,117",Action, Adventure, Drama,377.85,PG-13 
3,Inception, Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe,"2,414,457",Action, Adventure, Sci-Fi,292.58,PG-13 
4,The Lord of the Rings: The Fellowship of the Ring, Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean,"1,916,724",Action, Adventure, Drama,315.54,PG-13 
5,The Lord of the Rings: The Two Towers, Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom,"1,704,165",Action, Adventure, Drama,342.55,PG-13 
6,The Matrix, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving,"1,958,969",Action, Sci-Fi,Not Available,171.48,R 
7,Star Wars: Episode V - The Empire Strikes Back, Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams,"1,321,848",Action, Adventure, Fantasy,290.48,PG 
8,Soorarai Pottru, Suriya, Paresh Rawal, Urvashi, Aparna Balamurali,"119,541",Action, Drama,Not Available,Not Available,TV-MA 
9,Star Wars: Episode IV - A New Hope, Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness,"1,394,303",Action, Adventure, Fantasy,322.74,PG 
10,Terminator 2: Judgment Day, Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick,"1,123,665",Action, Sci-Fi,Not Available,204.84,R 
11,Seven Samurai, Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki,"352,980",Action, Drama,Not Available,0.27,Not Rated 
12,Harakiri, Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba,"61,050",Action, Drama, Mystery,Not Available,Not Rated 
13,Sita Ramam, Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth,"60,011",Action, Drama, Mystery,Not Available,U 
14,Léon: The Professional, Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello,"1,190,035",Action, Crime, Drama,19.50,R 
15,Gladiator, Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed,"1,536,974",Action, Adventure, Drama,187.71,R 
16,Spider-Man: Into the Spider-Verse, Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali,"571,554",Animation, Action, Adventure,190.24,PG 
17,Avengers: Endgame, Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth,"1,181,261",Action, Adventure, Drama,858.37,PG-13 
18,Indiana Jones and the Raiders of the Lost Ark, Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies,"987,273",Action, Adventure,Not Available,248.16,PG 
19,Avengers: Infinity War, Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans,"1,124,570",Action, Adventure, Sci-Fi,678.82,PG-13 
20,Oldboy, Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong, Kim Byeong-Ok,"596,759",Action, Drama, Mystery,0.71,R 
21,The Dark Knight Rises, Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman,"1,742,522",Action, Drama, Thriller,448.14,PG-13 
22,Aliens, Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser,"732,856",Action, Adventure, Sci-Fi,85.16,R 
23,Kaithi, Karthi, Narain, Arjun Das, George Maryan,"36,154",Action, Adventure, Crime,Not Available,Not Rated 
24,Asuran, Dhanush, Manju Warrier, Prakash Raj, Pasupathy,"31,212",Action, Drama,Not Available,Not Available,Not Rated 
25,Top Gun: Maverick, Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer,"591,364",Action, Drama,Not Available,718.73,PG-13 
26,Heat, Al Pacino, Robert De Niro, Val Kilmer, Jon Voight,"676,953",Action, Crime, Drama,67.44,R 
27,Star Wars: Episode VI - Return of the Jedi, Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams,"1,078,175",Action, Adventure, Fantasy,309.13,PG 
28,Princess Mononoke, Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup,"407,027",Animation, Action, Adventure,2.38,PG-13 
29,North by Northwest, Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis,"334,745",Action, Adventure, Mystery,13.28,Approved 
30,Kantara, Rishab Shetty, Kishore Kumar G., Achyuth Kumar, Sapthami Gowda,"95,556",Action, Adventure, Drama,Not Available,Not Rated 
31,Dangal, Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra,"197,438",Action, Biography, Drama,12.39,Not Rated 
32,K.G.F: Chapter 2, Yash, Sanjay Dutt, Raveena Tandon, Srinidhi Shetty,"139,702",Action, Crime, Drama,6.60,Not Rated 
33,Vikram, Kamal Haasan, Vijay Sethupathi, Fahadh Faasil, Narain,"63,902",Action, Crime, Thriller,Not Available,UA 
34,Raatchasan, Vishnu Vishal, Amala Paul, Radha Ravi, Sangili Murugan,"46,976",Action, Crime, Drama,Not Available,Not Rated 
35,Shershaah, Sidharth Malhotra, Kiara Advani, Shiv Panditt, Pranay Pachauri,"124,840",Action, Biography, Drama,Not Available,TV-14 
